"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","program_ids","dataset","first_seen","last_seen","last_change"
"NK-39didiccmRpkc5WDBZSeyv","LegalEntity","Master Binary","Sahabat Trader Binary","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-08-30T07:55:15"
"NK-4GPnuW6qbL8HkmqgeExN2X","LegalEntity","Bitcoin Revolution","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-9Z3FGLaSTxAvocjouQT3Ci","LegalEntity","Ethtrade Global Limited","Ethtrade Limited","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-AtxvFJgpUuZ5rijdeStLo8","LegalEntity","Questra Holdings","Atlantic Global Asset Management;Questra World","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-DgJuq8423C8oMpVUgsaxCu","LegalEntity","Jalatama Management Sdn Bhd (929594-W)","","","","Menara Standard Chartered, Suite 30.1, Level 30, No 30 Jalan Sultan Ismail, 50250 Kuala Lumpur","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-DmnvMQUSj6VzB3WZKdAbrp","LegalEntity","Pruton Mega Holding Limited","Pruton FX;Pruton Investment Holding Limited","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-G8Tex4WfUW6ybrP2nqNvnq","LegalEntity","Efzinitus Capital Pte Ltd","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-HFudJxGayWqArqdzwVkFcd","LegalEntity","Trade Malaysia","Exness Malaysia;Trade FX","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-12-20T07:55:04","2026-04-17T07:55:03","2025-02-24T07:55:09"
"NK-HQyYK2cMMMPWeNyuyKRfTN","LegalEntity","SMCI Corporation","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-J9BgzCgc9kxhkJPEAA9AgT","LegalEntity","Cahaya Maju Investment","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-N6hWDr6BWVLneuS3HuCiEH","LegalEntity","Sahabat Trade Pro","Trade Pro Investment","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-03-04T07:55:06","2026-04-17T07:55:03","2025-03-04T07:55:06"
"NK-NxdAgxJZhsCZ9bh2W9VFVP","LegalEntity","TP Eagle Venture Sdn Bhd (1114378-M)","","","","No. 69-1, Lebuh Kota Permai 1, Taman Kota Permai, 14000 Bukit Mertajam, Pulau Pinang","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-RB3zqgFHp5ATzbpwvRwtAN","LegalEntity","One Autocash","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-S8mMMqDLc9mdEBsctDT924","LegalEntity","Madinah Mining","Madinah Mining Investment Pte Ltd","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-VSgGaqksdADD9hHnBXuyA9","LegalEntity","Headway","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-12-24T07:55:02","2026-04-17T07:55:03","2025-12-24T07:55:02"
"NK-YFB8cw7bX3cfMfRPGR8sv3","LegalEntity","FBS Malaysia","FX Trade Pro","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-ZFMCXpwWPMgPZ2fvonc5dk","LegalEntity","JAZ Million Resources","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-04-30T07:55:03","2026-04-17T07:55:03","2025-05-07T07:55:03"
"NK-aaFQYjFYsnikTMZ5DWqhKC","LegalEntity","Lindale Ventures (003041846-U)","","","","L-3-11, Jalan Sri Hartamas 1, Taman Sri Hartamas, 50480 Kuala Lumpur","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-bEQHb72CDQcav29PmgcrsM","LegalEntity","Emar Markets","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-12-20T07:55:04","2026-04-17T07:55:03","2024-12-20T07:55:04"
"NK-cYdJxEiPqyXHgkXgrFp3Wc","LegalEntity","Futurebarrel.com","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-cicDvo24hFNmivgLVfQtgL","LegalEntity","I Investment 254","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-dN3nSQaRmHCvY7sntanGjK","LegalEntity","Steinberg Investment Research AG","","","","Schingrund 1, Rotkreuz Zug 6343, Switzerland;Tower A Ngee Ann City, 391a Orchard Road, Singapore 238873","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-gWxxC9QmSBTx96zY2LVvVX","LegalEntity","Global Asia FX","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-08-14T07:55:06","2026-04-17T07:55:03","2025-05-15T07:56:05"
"NK-h7DiiKzKJBRdMGQf2TaLnU","LegalEntity","DGQEX","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-06-21T07:55:04","2026-04-17T07:55:03","2025-06-21T07:55:04"
"NK-jwuJzkNgMNd66MdtQjknyr","LegalEntity","CFAF Islamic","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-kVwNp6om6hEh9BtY2fzTKw","LegalEntity","Mining Guru.net","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-n6Gj3wehHoybED92DuBNfk","LegalEntity","Advantage Trader","My Advance Trader","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-nTsxGKHBBCG6UihpQ2EVMs","LegalEntity","BTC Pelaburan Malaysia","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"NK-oNnsEgBUePhActReL4VXnj","LegalEntity","Amundi Asset Management","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-000974c3d0626c1b08cf5e5bc8181fce67df96c2","LegalEntity","TTF Global Asia","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-00435ffc9c2ebb164de123c1921e8ad31b0db31b","LegalEntity","LKEN BASE","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-10-07T07:55:02","2026-04-17T07:55:03","2025-10-07T07:55:02"
"my-inval-0066d5c7341ed6a8bd98b17f63e4844f933ec674","LegalEntity","PPNANCE","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-11-12T07:55:04","2026-04-17T07:55:03","2024-11-12T07:55:04"
"my-inval-012a526735fc2ef431b9c4577f6b69526d035f36","LegalEntity","JD Group","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-01cd3f14d972a1c8a1fe06198dcdc2482c2ab96d","LegalEntity","Briilliant Capital Group","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-024a42a8991c2734accd78944846f25be3287f98","LegalEntity","UeBond","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0265d4da2e964ecc1cc59783f0bd1ef4da97942c","LegalEntity","Bitto Technology","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0292cab6fbc1613cd19a773b131d6bee5947add6","LegalEntity","UNO Advisers","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-11-19T07:55:05"
"my-inval-02b9806865ef429a5b3f4fb7afafe6aed234fd16","LegalEntity","Asean Union Incorporated","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-02c2232f7ac0492d9f0c655b373540ddcbec4fae","LegalEntity","Crypto Trading","Crypto Trading Syariah","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-02e0f7c5720aed479d11ebcaffca6eff4e0974b7","LegalEntity","Hong Leong Corp Telegram Group","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-030bd4d965f891421c68823532b57f1d7af14734","LegalEntity","Bursa Saham KL Trader","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-09-07T07:55:02","2026-04-17T07:55:03","2024-09-07T07:55:02"
"my-inval-030be8bc7346c47de8ff2a5d843d45a7936bf536","LegalEntity","Pelaburan Berjaya Tabung Haji","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-033899471380933700f60d0adb13f0e5efbad33c","LegalEntity","MYOE Networks (M) Berhad","","","","Lot B-G10, Jalan Dataran 2, PJU 9, Bandar Sri Damansara, Kuala Lumpur","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-03423f7f28abc86f1859701c01f6ca067d19d6c8","LegalEntity","Infinox","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-03539ebdc3272a5f44864cedd1b6d5d1b8afcc6a","LegalEntity","SBMA Investment LLC (Southeast Business Management Agency, SBMA)","","","","No. 16A, Jalan PS9/1, Prima Selayang, 68100 Batu Caves, Selangor, Malaysia;SBMA Inc, 750 Third Avenue, 9th Floor, New York, NY, United States","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0355e11d7718522fadc786135ed3d322bb3d4beb","LegalEntity","Mirror Trading International","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-03616715921d8de015161123b059f3a6b58ff420","LegalEntity","Sahamwawasan","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-03-05T07:55:07","2026-04-17T07:55:03","2025-03-05T07:55:07"
"my-inval-036828db3acfe281eabfd724005727950c02a500","LegalEntity","Perdana Wawasan (M) Berhad","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-03ab264feef5ef81ff6499b06d20af9eb131e51e","LegalEntity","AL-OMARI Sdn Bhd","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-03ba18a48a77ed64e0095a30a042a4c1057716b3","LegalEntity","Potential clone entity - Evergreen Capital","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-08-28T07:55:03","2026-04-17T07:55:03","2025-08-28T07:55:03"
"my-inval-03eb5b078332f05faf8c8be1ec3711257e8288be","LegalEntity","Over Binary Option","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2025-02-24T07:55:09"
"my-inval-03f01f574641eab057dd3442aa49172f390d1f9d","LegalEntity","LSD Gold Forex","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0409513b5956570772009bf1a33d0a713c6586af","LegalEntity","Tokenize","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-03-04T07:55:06","2026-04-17T07:55:03","2025-03-04T07:55:06"
"my-inval-0426bbd3dac36dc988d62622d3dd65a73f2659ec","LegalEntity","RoboForex","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-04a8e06803b0c3f439c5773575d8061e90ee9047","LegalEntity","Tengku Idris FX","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-10-03T07:55:02"
"my-inval-04bf974a11f052a3a66cc5631a5f547b2bda6619","LegalEntity","HF Markets","HFM","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-04cd744da4195efe11fc5da96b35683790a5cc17","LegalEntity","CMC Markets","Potential clone entity - CMC Trading","","","","","","","","","Malaysia Securities Commission Investor Alert List","2026-02-09T07:55:02","2026-04-17T07:55:03","2026-03-03T07:55:03"
"my-inval-04faf7e817674bcd079a27b86d493680cc5ce88d","LegalEntity","Kurmi Ghanshyam","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-050dcf2d015685f35d01b3ec13aa8c074b42c446","LegalEntity","Big Cash Coin","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-051f41e48a63dacc7d62e90793735cf721aa31bb","LegalEntity","Money Berjaya Trading","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0540ba9d3b51c714f5fafe609abe5851ff0068ca","LegalEntity","Qhazanah Ventures","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-12-29T07:55:02","2026-04-17T07:55:03","2025-12-29T07:55:02"
"my-inval-05441055648d545287b8bfcf1b0aee0340ccdd42","LegalEntity","http://www.xeraya-capital.com","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-058664ea522d5995f67c8168887233a0ecdb95e7","LegalEntity","BTC Investment Asia","FX Trading","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0589197ec25ae2c372aedc7f687b52fe54ecfe97","LegalEntity","Xtreme Markets","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-09-06T07:55:06","2026-04-17T07:55:03","2024-09-06T07:55:06"
"my-inval-058cb5547d5bb5a3e6c297ca005994fca70fad92","LegalEntity","SMART Account Real","SMART Trader","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-05a922f9259e1c350019ae0847ac6f38a41b4eed","LegalEntity","Christopher Ng Yeow Chong","Newstock2021","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-05d70382ab2f1e4ba1650296e8f4fabb93930723","LegalEntity","TA Trading Malaysia 1270","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0636470044b2b6e89a297014add05f960b0a73b1","LegalEntity","24 Forex Market","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-06420f63215d3341fd515936019c17f315b53621","LegalEntity","BitxEX","Bitxchanges","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-07-17T07:55:03","2026-04-17T07:55:03","2025-07-17T07:55:03"
"my-inval-0643c90438d394399a8b33c45434003f31e39aa4","LegalEntity","Euro FinBank","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0666e02f7ed8b676925fa68b188a56b95effda8b","LegalEntity","Star Trade","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-067006e0d26897ceffc6a5a16732eda16234de22","LegalEntity","MaxWise Union","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-067e9a476fcc8dae61140b1165ca4eb9ff10737b","LegalEntity","VeiMalaysia","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-11-03T07:55:02","2026-04-17T07:55:03","2026-01-12T07:55:03"
"my-inval-069ffb7ee40459783efc6710e5bd0a175f5cd33f","LegalEntity","Insaaph Company Sdn Bhd","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-06a1f33fdfc3dc6b186a6b6b45620771541621ad","LegalEntity","Wahadeed","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-06fcee2c2bad7bd4a3269a7f59fb143b2a41bc2e","LegalEntity","Bersatu Indah Sdn. Bhd.","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-07007ceda462846aecab3ac1cb4296bb90650129","LegalEntity","Qhazanah Islamic","Qhazanah Quantum","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-07270cd71d1a8a5ed13577ab4da2002509473e8c","LegalEntity","Potential clone entity - i3-Investment.vip","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-05-21T07:56:32","2026-04-17T07:55:03","2025-05-21T07:56:32"
"my-inval-07361d2f81ce12a7a91fed64489742e3467d082f","LegalEntity","MIDF Investment","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2026-03-17T07:56:26"
"my-inval-075a1f3f8702bfccf5c66f6e483b93d1b9d9c730","LegalEntity","Apex Equity","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-04-30T07:55:03","2026-04-17T07:55:03","2025-07-12T07:56:36"
"my-inval-075e1361c7da059c2626832d748818232a354ac0","LegalEntity","Axia Capital Malaysia","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-07886406f4aacae7f5f13a5e5a0e9a93d9076d78","LegalEntity","RimauSwap","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0792753a2da4d8ad14b35698bd22711941467bef","LegalEntity","Exelasia Capital Sdn Bhd","","","","Level 28, Wisma Goldhill, 67 Jalan Raja Chulan, 50200 Kuala Lumpur","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-07c1598242e248e97effebb026db81e858dc83ad","LegalEntity","Uperfans Investment","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-07d3b1313d2e0390d38cb45c92385e16ef7b56c5","LegalEntity","Swiss Standard Trust AG, Zurich","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-07dc92caa583f363edba97161bafb11fe11598bf","LegalEntity","Terbaik Trade","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-08-12T07:55:02","2026-04-17T07:55:03","2025-08-12T07:55:02"
"my-inval-07f115b0d7f23ec701b78b8e51f033555f071bf3","LegalEntity","Scott Fitzgerald Group","","","","(Virtual Office) Level 40, Petronas Twin Towers, Kuala Lumpur City Center, 50088 Jalan Ampanf, Kuala Lumpur","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0875ead941217818779c98885b3c4153a42852f5","LegalEntity","Capital Invest Trade","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-10-10T07:55:03","2026-04-17T07:55:03","2025-10-10T07:55:03"
"my-inval-08cc2a400eb98781b9f164d5549ed065f9c51738","LegalEntity","Oregon Invest","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-090d263f8fa0c74fc4faeb4477a9e64519fb0aca","LegalEntity","Bitxtrade Online Sdn Bhd. (“Bitxtrade”)","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-091105ab9566345070ebfa45e601818111b3ce71","LegalEntity","InHouse","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2026-04-03T07:56:24","2026-04-17T07:55:03","2026-04-03T07:56:24"
"my-inval-093165809d4191681c4a8a1634e9c3e8cff37090","LegalEntity","Axis REIT Managers (WhatsApp)","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-12-20T07:55:04","2026-04-17T07:55:03","2025-01-01T07:55:03"
"my-inval-096633463c6c4de5b3844978b46302d1323551cc","LegalEntity","Inter SC","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2026-01-09T07:55:02","2026-04-17T07:55:03","2026-01-09T07:55:02"
"my-inval-0969269823fbd847967e94e616617adad496c99e","LegalEntity","Aether Bridge Financial","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2026-03-27T07:55:03","2026-04-17T07:55:03","2026-03-27T07:55:03"
"my-inval-097ed647c839ca196e9918be739d8467098b86cf","LegalEntity","Mesti Berhasil","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0a1ea487448230f6057039c6f214f1115f4e37de","LegalEntity","Potential clone entity - B Wealth Solution","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-08-13T07:55:03","2026-04-17T07:55:03","2025-08-13T07:55:03"
"my-inval-0a5609106ae73db571770d3011ee759bb55399f9","LegalEntity","Grow More Investment","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0a6d3f4d78563ba3cc92e04f474024261f74bee7","LegalEntity","Pelaburan Saham","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0a6f529833fdf2852be1e8542590855a87541521","LegalEntity","Pelaburan Phillip","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0a78a3f0c9de237c81aa04fd86a213ed6bebe1be","LegalEntity","Al Ghurair","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
